protein_id,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome_Vacuole,Golgi apparatus,Peroxisome
MED19_HUMAN,0.196500003,0.96420002,0.064000003,0.079700001,0.0051,0.0018,0.053800002,0.031599998,0.021299999,0.0006
BLT3B_HUMAN,0.587199986,0.326200008,0.0264,0.377600014,0.317200005,0.0101,0.358799994,0.703999996,0.513800025,0.0232
POTB3_HUMAN,0.648899972,0.543900013,0.123300001,0.34920001,0.229900002,0.0023,0.142499998,0.26699999,0.155100003,0.031099999
IGLC7_HUMAN,0.423900008,0.049400002,0.947899997,0.368200004,0.373199999,0.016899999,0.3037,0.319299996,0.404199988,0.0146
SHOT1_HUMAN,0.772800028,0.362699986,0.079700001,0.222299993,0.095700003,0.0069,0.093999997,0.203099996,0.310000002,0.028999999
SC5AA_HUMAN,0.079800002,0.059300002,0.0175,0.889900029,0.093800001,0.0102,0.281800002,0.605099976,0.215800002,0.0072
FEZF1_HUMAN,0.307399988,0.890399992,0.0134,0.061000001,0.106799997,0.0003,0.052000001,0.034600001,0.0252,0.0032
T120B_HUMAN,0.076499999,0.234599993,0.0044,0.39379999,0.123899996,0.0029,0.799099982,0.211400002,0.601499975,0.032299999
CLRN2_HUMAN,0.198400006,0.098999999,0.086199999,0.806400001,0.062100001,0.0093,0.177000001,0.52579999,0.306600004,0.0028
RHG10_HUMAN,0.676400006,0.264800012,0.107100002,0.487800002,0.063699998,0.0015,0.139300004,0.554400027,0.51849997,0.0029
IRGM_HUMAN,0.702700019,0.455599993,0.245700002,0.208900005,0.204300001,0.044199999,0.203500003,0.357199997,0.157399997,0.0143
F170A_HUMAN,0.296799988,0.909600019,0.207399994,0.063600004,0.099200003,0.0012,0.068700001,0.0189,0.030400001,0.0091
ANO9_HUMAN,0.169,0.083099999,0.017200001,0.828400016,0.2227,0.0019,0.408399999,0.384900004,0.138500005,0.042800002
S22AN_HUMAN,0.216399997,0.135100007,0.0407,0.791199982,0.101499997,0.0006,0.279700011,0.349900007,0.324600011,0.095399998
ODAM_HUMAN,0.116899997,0.061999999,0.954299986,0.042800002,0.0199,0.0218,0.115800001,0.115099996,0.120899998,0.0016
F168B_HUMAN,0.393299997,0.399199992,0.076700002,0.317600012,0.251700014,0.041900001,0.316700011,0.317799985,0.108000003,0.0017
PXDNL_HUMAN,0.175899997,0.127399996,0.915400028,0.412299991,0.074000001,0.0056,0.242699996,0.360300004,0.241400003,0.0052
HACL2_HUMAN,0.252200007,0.260399997,0.0495,0.266299993,0.375800014,0.0121,0.822000027,0.259600013,0.249400005,0.081799999
U2QL1_HUMAN,0.698599994,0.595499992,0.0114,0.209299996,0.130700007,0.086300001,0.257800013,0.263399988,0.4472,0.0046
SYCE3_HUMAN,0.693099976,0.386299998,0.083300002,0.166899994,0.232999995,0.004,0.1919,0.344900012,0.356999993,0.0101
PKHG3_HUMAN,0.809499979,0.193100005,0.0682,0.433899999,0.170100003,0.0011,0.195199996,0.218400002,0.180099994,0.018300001
ELOV7_HUMAN,0.0546,0.054400001,0.0085,0.406699985,0.158800006,0.016799999,0.815999985,0.166299999,0.324900001,0.076399997
SRCRL_HUMAN,0.239600003,0.165900007,0.876900017,0.311399996,0.169799998,0.0028,0.222800002,0.353399992,0.345099986,0.0072
FSD2_HUMAN,0.783999979,0.494700015,0.115599997,0.108499996,0.061000001,0.0019,0.305900007,0.131400004,0.219699994,0.0018
SPD2B_HUMAN,0.771399975,0.231199995,0.121799998,0.305599988,0.065800004,0.0033,0.214599997,0.238100007,0.215100005,0.0031
CBAR1_HUMAN,0.611699998,0.392500013,0.162400007,0.240700006,0.172000006,0.0021,0.129600003,0.615800023,0.387600005,0.0087
MACD2_HUMAN,0.708899975,0.702400029,0.093199998,0.157499999,0.221499994,0.0029,0.078400001,0.0889,0.136899993,0.026699999
ZC12D_HUMAN,0.675999999,0.418500006,0.044399999,0.138500005,0.270399988,0.0008,0.254299998,0.173700005,0.205699995,0.0032
FRMD3_HUMAN,0.32159999,0.387800008,0.046300001,0.256700009,0.207499996,0.033500001,0.692099988,0.43689999,0.432900012,0.0744
CCD78_HUMAN,0.637099981,0.321799994,0.157000005,0.230399996,0.302300006,0.002,0.265500009,0.391000003,0.507600009,0.0973
HFM1_HUMAN,0.442400008,0.851700008,0.0048,0.027899999,0.127900004,0.0128,0.034699999,0.0174,0.0274,0.056899998
NBAS_HUMAN,0.420899987,0.640100002,0.0625,0.114500001,0.137400001,0.0211,0.36559999,0.201399997,0.309500009,0.0208
SYTC2_HUMAN,0.816200018,0.514299989,0.0317,0.107500002,0.144700006,0.036800001,0.419499993,0.093199998,0.176799998,0.0127
TM218_HUMAN,0.189600006,0.181700006,0.1972,0.3671,0.296499997,0.024499999,0.83829999,0.735099971,0.479999989,0.036600001
TESP1_HUMAN,0.725700021,0.361999989,0.049199998,0.396899998,0.262199998,0.0036,0.285299987,0.192900002,0.169200003,0.142100006
HYKK_HUMAN,0.619300008,0.535399973,0.069899999,0.0933,0.147,0.019099999,0.104199998,0.045699999,0.151299998,0.49849999
MEIOC_HUMAN,0.635299981,0.574699998,0.049400002,0.120499998,0.107299998,0.0013,0.106200002,0.247099996,0.142900005,0.0133
CCD66_HUMAN,0.812300026,0.297500014,0.024900001,0.118799999,0.163800001,0.0003,0.0942,0.157199994,0.215900004,0.045600001
TYW5_HUMAN,0.717700005,0.505599976,0.019400001,0.0504,0.302100003,0.0295,0.254000008,0.0449,0.111299999,0.0197
MBPHL_HUMAN,0.70389998,0.352899998,0.192000002,0.494800001,0.120200001,0.0063,0.109200001,0.307099998,0.287900001,0.0012
T131L_HUMAN,0.324299991,0.249400005,0.169599995,0.324900001,0.138600007,0.014,0.566900015,0.287600011,0.402099997,0.056499999
SSPO_HUMAN,0.356099993,0.1567,0.89289999,0.389999986,0.212200001,0.0021,0.228599995,0.413899988,0.217999995,0.0196
VWA8_HUMAN,0.132300004,0.187600002,0.130500004,0.156499997,0.80400002,0.012,0.115099996,0.1043,0.079000004,0.449000001
LAMB4_HUMAN,0.316900015,0.119800001,0.868600011,0.307799995,0.128199995,0.0069,0.342799991,0.202700004,0.2236,0.005
ISPD_HUMAN,0.573000014,0.372900009,0.186499998,0.234999999,0.369700015,0.0064,0.370900005,0.413300008,0.472299993,0.145999998
F221A_HUMAN,0.507000029,0.671500027,0.085000001,0.071699999,0.173099995,0.041999999,0.292800009,0.129500002,0.218999997,0.015
GSAP_HUMAN,0.436500013,0.588999987,0.070799999,0.253399998,0.090700001,0.0012,0.346500009,0.248400003,0.385100007,0.036899999
GTPBA_HUMAN,0.279799998,0.175699994,0.038600001,0.070600003,0.813399971,0.050299998,0.066399999,0.074100003,0.114100002,0.060899999
WDR91_HUMAN,0.638400018,0.478399992,0.089100003,0.187600002,0.046,0.0011,0.189300001,0.279000014,0.292400002,0.015
PRS37_HUMAN,0.1787,0.065800004,0.947899997,0.188999996,0.035500001,0.0143,0.278400004,0.293099999,0.101999998,0.008
CC14C_HUMAN,0.306199998,0.537299991,0.044,0.158500001,0.196099997,0.021600001,0.341399997,0.193800002,0.154899999,0.144700006
MBLC1_HUMAN,0.703299999,0.265599996,0.247799993,0.034600001,0.462000012,0.036899999,0.161300004,0.48089999,0.406699985,0.248999998
PM2P1_HUMAN,0.422500014,0.552699983,0.286199987,0.204699993,0.3037,0.046300001,0.283100009,0.242200002,0.224999994,0.180000007
EME2_HUMAN,0.574100018,0.618399978,0.0889,0.326299995,0.31310001,0.0016,0.178200006,0.054499999,0.078100003,0.0107
XIRP2_HUMAN,0.850000024,0.270399988,0.102600001,0.460399985,0.055199999,0.0147,0.0231,0.081100002,0.152899995,0.0086
POTEF_HUMAN,0.645099998,0.447600007,0.0898,0.364499986,0.213799998,0.0077,0.153600007,0.222900003,0.260100007,0.059300002
CL18A_HUMAN,0.206400007,0.158800006,0.879199982,0.281599998,0.095899999,0.0016,0.264600009,0.3574,0.292100012,0.0127
VP37C_HUMAN,0.573499978,0.363700002,0.154599994,0.167600006,0.155900002,0.0005,0.188299999,0.398799986,0.171900004,0.0009
ODAD3_HUMAN,0.765100002,0.394699991,0.075599998,0.150099993,0.127100006,0.0012,0.129600003,0.141599998,0.280999988,0.0033
CFA69_HUMAN,0.725399971,0.450399995,0.0429,0.269800007,0.0568,0.0096,0.170699999,0.068999998,0.303299993,0.0028
PSB11_HUMAN,0.581900001,0.58920002,0.044,0.115900002,0.198100001,0.0033,0.229800001,0.260500014,0.207000002,0.067100003
PSD1_HUMAN,0.653199971,0.375699997,0.0678,0.602800012,0.105400003,0.0003,0.117299996,0.301699996,0.161500007,0.003
PDES1_HUMAN,0.170399994,0.163299993,0.0109,0.1347,0.255600005,0.033300001,0.913600028,0.283499986,0.556599975,0.0184
5HT3E_HUMAN,0.196600005,0.106399998,0.0788,0.853100002,0.0241,0.0008,0.404300004,0.361600012,0.274699986,0.037599999
CNOT1_HUMAN,0.498400003,0.492500007,0.0255,0.164900005,0.054699998,0.0011,0.377900004,0.436800003,0.484400004,0.0049
CRNS1_HUMAN,0.801299989,0.403800011,0.162,0.050099999,0.136399999,0.0027,0.263099998,0.138600007,0.159299999,0.027899999
MEG11_HUMAN,0.2579,0.105999999,0.1655,0.715900004,0.049400002,0.0014,0.162499994,0.458499998,0.356900007,0.134000003
BDP1_HUMAN,0.349599987,0.940900028,0.0079,0.0143,0.044399999,0.0015,0.0867,0.0124,0.0137,0.0101
F221B_HUMAN,0.419699997,0.731100023,0.045000002,0.132699996,0.164399996,0.030400001,0.143099993,0.197899997,0.123099998,0.0113
CC88B_HUMAN,0.714999974,0.219699994,0.098700002,0.386299998,0.192699999,0.0019,0.346899986,0.353199989,0.537800014,0.028999999
NKX26_HUMAN,0.366100013,0.846599996,0.0143,0.093699999,0.0801,0.0003,0.022399999,0.035999998,0.0305,0.0091
JUNO_HUMAN,0.193100005,0.0898,0.542299986,0.667100012,0.129299998,0.0059,0.221499994,0.3662,0.277500004,0.0087
FA83G_HUMAN,0.75150001,0.39410001,0.041700002,0.150099993,0.1285,0.0025,0.114500001,0.184100002,0.082900003,0.0119
PALM3_HUMAN,0.587400019,0.351000011,0.0535,0.39379999,0.1505,0.0009,0.206200004,0.382499993,0.548600018,0.014
RBY1B_HUMAN,0.326200008,0.928799987,0.015699999,0.036600001,0.0261,0.0099,0.0559,0.0143,0.0061,0.0004
PGP_HUMAN,0.692200005,0.535600007,0.0381,0.274399996,0.335900009,0.0076,0.140599996,0.169699997,0.163800001,0.0118
TMM8B_HUMAN,0.102600001,0.082999997,0.062199999,0.744000018,0.104900002,0.0017,0.613399982,0.546500027,0.655300021,0.0995
RCCD1_HUMAN,0.726800025,0.694100022,0.0933,0.264200002,0.210099995,0.0035,0.227899998,0.168099999,0.239999995,0.0099
GG6L9_HUMAN,0.656599998,0.410699993,0.103100002,0.244599998,0.118100002,0.0017,0.229000002,0.181799993,0.366100013,0.027899999
TIKI2_HUMAN,0.198599994,0.104800001,0.511699975,0.685000002,0.140699998,0.0065,0.42809999,0.302100003,0.35710001,0.0065
TCAF2_HUMAN,0.542900026,0.271200001,0.144299999,0.519699991,0.198200002,0.0119,0.189400002,0.054000001,0.1096,0.0277
MFS2B_HUMAN,0.228100002,0.171499997,0.054400001,0.729099989,0.158500001,0.0057,0.609499991,0.487399995,0.236000001,0.036499999
SDHF1_HUMAN,0.299400002,0.181299999,0.025800001,0.052200001,0.983500004,0.0438,0.011,0.065800004,0.0414,0.0147
PCARE_HUMAN,0.639299989,0.365700006,0.075199999,0.480699986,0.179399997,0.0037,0.207800001,0.306300014,0.336400002,0.057999998
OOEP_HUMAN,0.570200026,0.696399987,0.145400003,0.089599997,0.218099996,0.0037,0.085100003,0.044500001,0.0187,0.0073
GGT3_HUMAN,0.211899996,0.142700002,0.2403,0.676299989,0.048500001,0.0019,0.42019999,0.551699996,0.287,0.225700006
TBAL3_HUMAN,0.790600002,0.299499989,0.0286,0.096500002,0.127200007,0.0031,0.158899993,0.219400004,0.102799997,0.0055
SMHD1_HUMAN,0.363999993,0.739799976,0.0548,0.116899997,0.141200006,0.0222,0.0933,0.0691,0.035300002,0.0061
MSGN1_HUMAN,0.458900005,0.888400018,0.025800001,0.093099996,0.325700015,0.0012,0.0385,0.1329,0.048700001,0.0011
MYMK_HUMAN,0.0623,0.136800006,0.137700006,0.717100024,0.111900002,0.017999999,0.754100025,0.29429999,0.575299978,0.0047
LIRA5_HUMAN,0.256900012,0.094499998,0.144299999,0.8046,0.024800001,0.0011,0.324800014,0.283399999,0.223900005,0.493900001
U119B_HUMAN,0.736800015,0.376399994,0.099600002,0.260500014,0.216000006,0.0616,0.253800005,0.338099986,0.433299989,0.066600002
WTIP_HUMAN,0.649100006,0.285100013,0.0418,0.385699987,0.160500005,0.0004,0.137500003,0.323700011,0.212500006,0.0081
NKX63_HUMAN,0.243300006,0.895699978,0.006,0.057999998,0.0462,0.0028,0.015900001,0.023399999,0.012,0.0034
MET15_HUMAN,0.215800002,0.27669999,0.057300001,0.041900001,0.941100001,0.018200001,0.0451,0.037,0.073899999,0.0176
IRG1_HUMAN,0.511500001,0.49149999,0.032600001,0.058899999,0.538399994,0.084700003,0.043499999,0.071999997,0.052499998,0.122900002
LIPT2_HUMAN,0.567600012,0.407599986,0.0209,0.045200001,0.84920001,0.181700006,0.101599999,0.090800002,0.0704,0.082000002
RASFA_HUMAN,0.721000016,0.32069999,0.047899999,0.247400001,0.093500003,0.0004,0.187000006,0.396699995,0.352299988,0.0084
PCX2_HUMAN,0.260500014,0.287699997,0.030300001,0.475699991,0.232299998,0.0093,0.610899985,0.40079999,0.441700011,0.077600002
SHSA7_HUMAN,0.147400007,0.184,0.26820001,0.624300003,0.063100003,0.0004,0.226300001,0.448500007,0.256300002,0.0133
AXA2L_HUMAN,0.719699979,0.365399987,0.524699986,0.32100001,0.144500002,0.0091,0.113399997,0.563399971,0.092799999,0.065399997
CO6A6_HUMAN,0.189099997,0.158999994,0.88380003,0.281300008,0.044399999,0.0074,0.226799995,0.261599988,0.162900001,0.009
IFM5_HUMAN,0.255800009,0.102899998,0.0832,0.820900023,0.531700015,0.0127,0.510500014,0.467999995,0.303299993,0.0089
TTL13_HUMAN,0.635200024,0.434700012,0.185000002,0.075199999,0.082999997,0.001,0.083099999,0.092500001,0.138099998,0.045499999
UBP27_HUMAN,0.511699975,0.741100013,0.044799998,0.183699995,0.102499999,0.0031,0.27759999,0.231800005,0.313699991,0.0091
TBB8B_HUMAN,0.784300029,0.294400007,0.084899999,0.223000005,0.158399999,0.0036,0.292699993,0.187800005,0.1149,0.0114
TTLL8_HUMAN,0.582199991,0.399399996,0.197600007,0.084200002,0.136199996,0.005,0.163200006,0.32980001,0.301600009,0.106299996
ZSWM8_HUMAN,0.525600016,0.577099979,0.059300002,0.145799994,0.103600003,0.0019,0.229599997,0.378500015,0.164900005,0.0107
MYH7B_HUMAN,0.652800024,0.370599985,0.067900002,0.352400005,0.121799998,0.0041,0.082199998,0.082400002,0.132100001,0.0007
RHG32_HUMAN,0.60650003,0.318800002,0.047200002,0.474900007,0.085699998,0.0025,0.250499994,0.601300001,0.456999987,0.0075
TBKB1_HUMAN,0.726400018,0.4472,0.062899999,0.204300001,0.132300004,0.0004,0.169200003,0.193599999,0.304899991,0.0038
SRRM4_HUMAN,0.175799996,0.913100004,0.0352,0.107900001,0.032600001,0.0004,0.077699997,0.015900001,0.0251,0.0009
SOBP_HUMAN,0.229399994,0.961700022,0.031599998,0.127100006,0.099299997,0.0002,0.0363,0.021,0.0405,0.002
P121C_HUMAN,0.206,0.844200015,0.127100006,0.061000001,0.079000004,0.0014,0.319799989,0.064599998,0.055399999,0.0106
WASH1_HUMAN,0.504499972,0.3759,0.135199994,0.180800006,0.035799999,0.0013,0.115199998,0.601400018,0.225799993,0.0286
A2ML1_HUMAN,0.368900001,0.116400003,0.887099981,0.412099987,0.075099997,0.0031,0.315100014,0.388200015,0.266600013,0.0022
CLM7_HUMAN,0.244399995,0.100500003,0.233500004,0.810800016,0.037300002,1.00E-04,0.287999988,0.181700006,0.180999994,0.2852
CLCA1_HUMAN,0.281300008,0.1391,0.880900025,0.362599999,0.0484,0.035300002,0.29339999,0.344900012,0.216900006,0.026000001
OCAT2_HUMAN,0.647199988,0.869599998,0.0079,0.082500003,0.076300003,0.0008,0.115500003,0.078199998,0.0792,0.0026
SFI1_HUMAN,0.609200001,0.439700007,0.0502,0.209999993,0.33860001,1.00E-04,0.176499993,0.113799997,0.154899999,0.0174
ZN785_HUMAN,0.269199997,0.798200011,0.032499999,0.044,0.121399999,0.0016,0.033599999,0.063199997,0.035,0.020199999
GBRR3_HUMAN,0.179299995,0.112000003,0.062899999,0.700800002,0.050999999,0.0044,0.245900005,0.183400005,0.176799998,0.042599998
CRTP1_HUMAN,0.677600026,0.267699987,0.031099999,0.766900003,0.241400003,0.0122,0.161899999,0.277200013,0.321799994,0.081
NEU1B_HUMAN,0.589299977,0.379999995,0.077600002,0.341399997,0.246800005,0.0015,0.1074,0.379700005,0.474599987,0.0085
CENPX_HUMAN,0.442900002,0.726999998,0.0233,0.044500001,0.076700002,0.002,0.120499998,0.231600001,0.158700004,0.0006
CMI2B_HUMAN,0.572300017,0.212200001,0.398200005,0.118500002,0.496300012,0.0074,0.064999998,0.133599997,0.094700001,0.0096
GNAT3_HUMAN,0.601000011,0.206799999,0.054200001,0.655799985,0.124300003,0.0044,0.190400004,0.37349999,0.304199994,0.0038
FOXI3_HUMAN,0.272700012,0.937600017,0.0071,0.032600001,0.055,0.0008,0.037799999,0.015,0.0131,0.0017
NOTO_HUMAN,0.366100013,0.749199986,0.035500001,0.1184,0.135700002,0.0017,0.050700001,0.0579,0.0197,0.0083
BBIP1_HUMAN,0.552900016,0.503499985,0.041299999,0.186000004,0.288599998,0.0187,0.081299998,0.154599994,0.428600013,0.0265
SMTL1_HUMAN,0.833800018,0.374900013,0.064199999,0.310900003,0.063900001,0.0006,0.110200003,0.077699997,0.163200006,0.0018
CSKMT_HUMAN,0.239299998,0.2183,0.060400002,0.096699998,0.928799987,0.0044,0.091200002,0.093800001,0.1329,0.057700001
VGLL3_HUMAN,0.537999988,0.843900025,0.027899999,0.125599995,0.041700002,0.0008,0.0623,0.052900001,0.0163,0.0018
HECA2_HUMAN,0.246800005,0.132799998,0.1127,0.881600022,0.071099997,0.0019,0.299199998,0.400000006,0.253100008,0.070100002
P20L1_HUMAN,0.331999987,0.8926,0.0206,0.043099999,0.0275,0.0014,0.165299997,0.165099993,0.084899999,0.0009
BECN2_HUMAN,0.575200021,0.449000001,0.0103,0.092699997,0.245000005,0.0012,0.549300015,0.484299988,0.45660001,0.0014
MEI4_HUMAN,0.662,0.541599989,0.0858,0.169400007,0.248799995,0.0396,0.270099998,0.262699991,0.355300009,0.086800002
GRCR1_HUMAN,0.609300017,0.406899989,0.0049,0.314099997,0.264999986,0.0285,0.100699998,0.176200002,0.242599994,0.053800002
NUD19_HUMAN,0.323599994,0.58039999,0.0135,0.099799998,0.2861,0.149299994,0.277700007,0.0119,0.042100001,0.784600019
KCNU1_HUMAN,0.198300004,0.102300003,0.024499999,0.619700015,0.115500003,0.0127,0.437599987,0.611699998,0.246600002,0.0583
LEUTX_HUMAN,0.243100002,0.875699997,0.0045,0.060899999,0.130899996,0.0022,0.043499999,0.0447,0.035999998,0.0017
CO6A5_HUMAN,0.228499994,0.149200007,0.865499973,0.246900007,0.037900001,0.0043,0.284799993,0.301800013,0.198300004,0.0137
IMA8_HUMAN,0.72240001,0.681800008,0.0083,0.142499998,0.064599998,0.0044,0.0592,0.116099998,0.201199993,0.032000002
MI4GD_HUMAN,0.745100021,0.649399996,0.088699996,0.115699999,0.045000002,0.0021,0.143999994,0.144999996,0.306199998,0.0087
AHRR_HUMAN,0.411900014,0.898000002,0.0272,0.0889,0.099600002,0.0002,0.0572,0.080300003,0.046799999,0.002
MYO1G_HUMAN,0.693700016,0.263700008,0.054900002,0.588999987,0.346199989,0.0014,0.144400001,0.343800008,0.172600001,0.003
DESPR_HUMAN,0.386700004,0.313199997,0.506299973,0.115400001,0.211400002,0.082699999,0.32949999,0.286500007,0.350899994,0.1087
HACD1_HUMAN,0.165600002,0.0902,0.0104,0.3741,0.113499999,0.035700001,0.767199993,0.293000013,0.362599999,0.087200001
ESPN_HUMAN,0.630299985,0.422899991,0.0156,0.470699996,0.145300001,0.0021,0.154799998,0.1329,0.189700007,0.0363
MYO9A_HUMAN,0.75910002,0.331400007,0.089100003,0.433600008,0.178299993,0.0054,0.230000004,0.288500011,0.272000015,0.0097
VWC2L_HUMAN,0.117899999,0.057799999,0.962199986,0.184499994,0.0276,0.0029,0.188999996,0.366100013,0.517700016,0.0134
SMIM1_HUMAN,0.121699996,0.233799994,0.240400001,0.633400023,0.177300006,0.0108,0.488499999,0.529900014,0.461899996,0.0239
ZBT42_HUMAN,0.183699995,0.848999977,0.0308,0.087499999,0.093599997,0.0002,0.047400001,0.082000002,0.085100003,0.0041
KDM4E_HUMAN,0.389299989,0.870800018,0.049400002,0.046700001,0.162799999,0.0014,0.115999997,0.066799998,0.046700001,0.041099999
IQIP1_HUMAN,0.739899993,0.378899992,0.032099999,0.436800003,0.284200013,0.0007,0.143700004,0.283800006,0.317699999,0.0097
TARM1_HUMAN,0.249799997,0.101599999,0.144199997,0.843400002,0.044399999,0.0027,0.517499983,0.192599997,0.195999995,0.100299999
KCJ18_HUMAN,0.163000003,0.112599999,0.015900001,0.870299995,0.080600001,0.0081,0.303000003,0.397500008,0.289099991,0.0071
GPHRA_HUMAN,0.103799999,0.195099995,0.023399999,0.278200001,0.126900002,0.0029,0.77670002,0.286199987,0.599099994,0.0102
WASH3_HUMAN,0.521700025,0.365500003,0.144999996,0.186700001,0.038600001,0.0014,0.112899996,0.577300012,0.220599994,0.026699999
PATL2_HUMAN,0.69749999,0.582199991,0.029100001,0.070500001,0.1131,0.0006,0.210899994,0.282599986,0.177300006,0.025900001
MCRI1_HUMAN,0.649800003,0.551500022,0.0535,0.099299997,0.1866,0.037999999,0.108999997,0.141399994,0.198899999,0.201800004
KBTBD_HUMAN,0.73150003,0.261599988,0.162599996,0.220699996,0.286900014,0.006,0.400599986,0.3028,0.370999992,0.0042
AK1BF_HUMAN,0.743200004,0.249400005,0.303799987,0.315400004,0.248300001,0.120099999,0.123199999,0.333000004,0.041700002,0.0195
KLRF2_HUMAN,0.157499999,0.1303,0.206300005,0.77700001,0.0305,0.0019,0.148800001,0.212899998,0.230499998,0.065800004
MCIN_HUMAN,0.46329999,0.854900002,0.048500001,0.0515,0.094599999,0.0007,0.0656,0.052700002,0.042800002,0.0112
STMP1_HUMAN,0.172199994,0.095299996,0.457300007,0.157600001,0.934000015,0.141499996,0.298900008,0.302100003,0.213599995,0.0854
SO1BT_HUMAN,0.1338,0.057799999,0.153500006,0.810199976,0.104599997,0.021400001,0.320199996,0.194800004,0.213799998,0.0229
SUMO5_HUMAN,0.620700002,0.662999988,0.075400002,0.1197,0.086800002,0.0022,0.234899998,0.294,0.425199986,0.0096
TM250_HUMAN,0.283600003,0.415899992,0.1382,0.1708,0.612699986,0.070500001,0.672699988,0.504199982,0.486000001,0.269300014
TGR3L_HUMAN,0.214499995,0.1778,0.413500011,0.777499974,0.102799997,0.0005,0.293199986,0.254799992,0.201800004,0.0145
SIM22_HUMAN,0.205599993,0.171100006,0.084700003,0.655099988,0.085199997,0.0011,0.5898,0.614099979,0.358700007,0.079300001
IFNL4_HUMAN,0.174999997,0.126000002,0.860599995,0.322600007,0.183799997,0.0024,0.338200003,0.359499991,0.298200011,0.0068
MIDUO_HUMAN,0.336299986,0.217299998,0.0272,0.059900001,0.926699996,0.0103,0.023,0.035700001,0.077200003,0.004
DCDC1_HUMAN,0.646799982,0.295899987,0.081900001,0.252900004,0.321099997,0.027100001,0.131500006,0.147200003,0.192900002,0.0251
DNS2A_HUMAN,0.173099995,0.1184,0.854300022,0.386200011,0.146200001,0.0058,0.282400012,0.38530001,0.164800003,0.0119
ADAS_HUMAN,0.521499991,0.232099995,0.159099996,0.161599994,0.260699987,0.252000004,0.234599993,0.181099996,0.209999993,0.804799974
UBXN8_HUMAN,0.173700005,0.308499992,0.0682,0.235599995,0.293300003,0.0218,0.907500029,0.295899987,0.409299999,0.059099998
KIF2A_HUMAN,0.661499977,0.498800009,0.0403,0.230900005,0.073399998,0.0006,0.104099996,0.235599995,0.180999994,0.0119
SGK1_HUMAN,0.744499981,0.5097,0.055799998,0.325399995,0.269300014,0.011,0.150299996,0.260500014,0.163800001,0.005
KITM_HUMAN,0.252999991,0.244900003,0.116599999,0.149700001,0.887099981,0.0023,0.157199994,0.126100004,0.196400002,0.176200002
FZD9_HUMAN,0.085500002,0.047200002,0.024599999,0.896499991,0.068499997,0.0031,0.309199989,0.373899996,0.375999987,0.0098
DX39A_HUMAN,0.611299992,0.737100005,0.0145,0.157100007,0.103100002,0.0004,0.1664,0.132400006,0.120899998,0.0044
PDLI1_HUMAN,0.701600015,0.336299986,0.029999999,0.268099993,0.0473,0.003,0.317099988,0.128399998,0.345699996,0.0005
BACH_HUMAN,0.220100001,0.145199999,0.0539,0.068099998,0.914099991,0.0186,0.0766,0.067100003,0.101199999,0.057799999
GPR25_HUMAN,0.162699997,0.0682,0.045899998,0.871800005,0.113899998,0.0011,0.257499993,0.414200008,0.239099994,0.0067
MYO1C_HUMAN,0.678300023,0.340900004,0.136800006,0.489800006,0.190400004,0.0043,0.087899998,0.240099996,0.119400002,0.0021
